"","x"
"1","Acinetobacter"
"2","Class_Bacteroidia"
"3","Enhydrobacter"
"4","Finegoldia"
"5","Peptoniphilus"
"6","Prochlorococcus_MIT9313"
"7","Pseudomonas"
"8","Rheinheimera"
"9","Rubrobacter"
"10","Psuedomonas.1"
"11","Psuedomonas.2"
"12","Pseudomonas.1"
"13","Pseudomonas.2"
"14","Algoriphagus"
"15","Curvibacter"
"16","DSSD61"
"17","Endozoicomonas"
"18","Family_Neisseriaceae"
"19","Family_Simkaniaceae"
"20","Haemophilus"
"21","Lacibacter"
"22","Lactococcus"
"23","Methylobacterium"
"24","Order_Entomoplasmatales"
"25","Order_Obscuribacterales"
"26","Phreatobacter"
"27","Rhodobacter"
"28","Veillonella"
"29","Endozoicomonas.1"
"30","Endozoicomonas.2"
"31","Acidovorax"
"32","Alteromonas"
"33","Asinibacterium"
"34","Cloacibacterium"
"35","Kingdom_Bacteria"
"36","Order_Rhodospirillales"
"37","Pseudoalteromonas"
"38","Enhydrobacter*"
"39","Rubrobacter*"
"40","Methylobacterium*"
