,input,filtered,denoised,merged,tabled,nonchim
A1,35287,33797,33733,33582,33582,33582
A10,55633,52601,52517,52345,52345,52291
A11,59081,56203,56132,55775,55775,55159
A12,38661,36118,35978,35588,35588,35291
A2,28635,26952,26901,26839,26839,26823
A3,55091,52238,52163,52023,52023,51856
A5,22753,19090,19037,18950,18950,18950
A6,17404,15842,15807,15732,15732,15732
A7,22174,20954,20849,20685,20685,20588
A8,13466,12361,12315,12201,12201,12128
A9,71721,68506,68366,68095,68095,67581
B1,17317,15998,15941,15847,15847,15842
B10,29582,27776,27717,27665,27665,27553
B11,55765,52787,52682,52505,52505,52232
B12,38541,36437,36362,36179,36179,35759
B2,23214,21449,21422,21188,21188,21139
B3,18785,16914,16817,16719,16719,16713
B4,22375,21023,20956,20911,20911,20909
B5,3988,3550,3508,3442,3442,3442
B6,15600,13729,13688,13604,13604,13532
B7,15300,14271,14241,14163,14163,14161
B8,10450,9608,9579,9552,9552,9552
B9,23007,21342,21274,21165,21165,21165
C1,29814,28654,28576,28405,28405,28355
C10,40077,38123,38067,37951,37951,37829
C11,48769,46288,46235,46037,46037,45399
C2,12235,11141,11105,10960,10960,10930
C3,33950,32069,31998,31878,31878,31878
C4,23027,21660,21590,21562,21562,21500
C5,25222,23500,23468,23381,23381,23335
C6,28968,26851,26792,26674,26674,26518
C7,18692,17488,17459,17395,17395,17395
C8,14841,13699,13653,13603,13603,13603
C9,38056,36143,36095,36022,36022,36016
D1,20152,18924,18900,18817,18817,18817
D10,39861,37693,37609,37499,37499,37425
D11,26228,24733,24657,24527,24527,24527
D12,18273,15104,15063,15015,15015,14911
D3,24913,23244,23180,23021,23021,23021
D4,35418,33528,33486,33413,33413,33231
D5,20861,19486,19457,19405,19405,19366
D6,24997,23220,23177,23020,23020,22799
D7,20363,18487,18460,18369,18369,18369
D8,20583,19098,19057,19002,19002,18958
D9,38236,35468,35334,35251,35251,35249
E1,29713,27979,27871,27683,27683,27539
E10,38526,36571,36501,36447,36447,36312
E11,28774,27119,26984,26564,26564,25583
E12,34174,31985,31925,31757,31757,31623
E2,15818,14551,14512,14440,14440,14440
E3,21363,19917,19874,19770,19770,19770
E4,25664,23723,23673,23599,23599,23498
E5,33899,32499,32439,32320,32320,32131
E6,25395,23693,23615,23509,23509,23464
E7,21713,20521,20479,20440,20440,20290
E8,36223,34138,34076,33954,33954,33412
E9,84833,80497,80360,80246,80246,79790
F1,18107,17061,16992,16951,16951,16951
F10,42674,40598,40512,40332,40332,40203
F11,48111,46041,45951,45613,45613,45108
F12,47637,44826,44742,44586,44586,44311
F2,36814,33719,33647,33435,33435,33269
F3,26665,24816,24728,24597,24597,24597
F4,30767,29415,29369,29314,29314,29180
F5,28300,26876,26807,26648,26648,26645
F6,26695,25043,24990,24892,24892,24892
F7,27299,25754,25698,25610,25610,25610
F8,18024,16822,16778,16701,16701,16699
F9,394,299,248,238,238,238
G1,28883,27537,27491,27366,27366,27366
G10,34512,32853,32777,32666,32666,32627
G11,47979,45654,45599,45449,45449,45285
G12,47847,44912,44821,44739,44739,44739
G2,29545,27637,27523,27382,27382,27380
G3,31068,29173,29115,28970,28970,28967
G4,26212,24950,24924,24883,24883,24883
G5,29005,27516,27462,27390,27390,27334
G6,25618,24036,23996,23864,23864,23864
G7,36887,33628,33498,33130,33130,32943
G8,27942,26128,26082,26007,26007,26007
G9,37876,35932,35868,35742,35742,35740
H1,39148,37445,37378,37219,37219,37126
H10,22694,21231,21194,21131,21131,21131
H11,35502,33582,33522,33425,33425,33425
H12,33649,31184,31112,30758,30758,29969
H2,23867,22683,22632,22569,22569,22484
H3,23232,21824,21760,21703,21703,21703
H4,9861,9256,9212,9086,9086,9086
H5,9684,9164,9126,9052,9052,9052
H6,15767,14427,14374,14261,14261,14261
H7,40099,38283,38204,38168,38168,38027
H8,16906,15698,15649,15600,15600,15539
H9,17881,16870,16802,16736,16736,16736
