"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"sq3",2305.3878662987,-3.8274103538936,1.23176625583375,-3.10725377949482,0.00188834215606818,0.0154214609412234,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","Genus_Endozoicomonas"
"sq15",15.0706237015728,-5.00120515864427,1.87618326861179,-2.66562720301025,0.00768448542303474,0.0452638772376167,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Lacibacter","Genus_Lacibacter"
"sq20",57.301408509356,-4.36593974364721,1.65435785784409,-2.63905401297926,0.0083137733701745,0.0452638772376167,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium","Genus_Methylobacterium"
"sq37",10.8313688702795,-23.1723649582108,2.94363268540623,-7.87203005085975,3.48932316721793e-15,1.70976835193678e-13,"Bacteria","Kingdom_Bacteria","Kingdom_Bacteria","Kingdom_Bacteria","Kingdom_Bacteria","Kingdom_Bacteria","Kingdom_Bacteria"
"sq41",12.4118955594146,-7.10520871406408,2.02574037106185,-3.50746266183147,0.00045240183655827,0.00443353799827105,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Phreatobacter","oligotrophus"
"sq56",4.57870251192193,21.1725969837766,2.94138654247593,7.19816884929187,6.10265457676463e-13,1.49515037130734e-11,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia","Genus_Ralstonia"
"sq59",42.2842566452966,8.82266546720016,2.20230151273406,4.00611152296183,6.17265133471115e-05,0.00100819971800282,"Bacteria","Kingdom_Bacteria","Kingdom_Bacteria","Kingdom_Bacteria","Kingdom_Bacteria","Kingdom_Bacteria","Kingdom_Bacteria"
"sq75",19.4847968701328,-7.7563386756798,2.21100962784754,-3.50805287231188,0.000451399327661298,0.00443353799827105,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Acidovorax","Genus_Acidovorax"
"sq84",11.3185238818943,-6.97267674494928,2.55590484876356,-2.72806585437732,0.00637068882508815,0.044594821775617,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Family_Burkholderiaceae","Family_Burkholderiaceae"
