"","sq1","sq12","sq18","sq2","sq24","sq3","sq32","sq6","sq7"
"101",1537,19,23,289,0,126,0,0,0
"113",1381,20,0,311,0,228,15,39,0
"115",1370,23,0,317,0,284,0,0,0
"116",554,35,46,320,0,427,0,612,0
"130",1445,21,21,230,0,277,0,0,0
"157",1552,0,0,270,0,172,0,0,0
"158",1358,25,0,308,0,303,0,0,0
"159",1483,22,0,271,0,218,0,0,0
"172",1711,11,0,155,0,110,7,0,0
"173",1561,10,0,219,0,204,0,0,0
"174",1367,15,0,404,0,208,0,0,0
"175",1307,26,0,521,0,140,0,0,0
"177",938,22,30,464,0,258,11,0,271
"178",94,0,0,0,0,26,0,55,1819
"179",1444,17,36,268,0,229,0,0,0
"180",1478,7,14,209,0,286,0,0,0
"276",1552,16,0,303,0,123,0,0,0
"297",1639,9,0,186,0,160,0,0,0
"300",1779,0,0,135,0,80,0,0,0
"301",1580,19,0,256,0,131,8,0,0
"303",1166,21,0,354,0,317,0,136,0
"304",1643,19,24,197,0,111,0,0,0
"305",1616,14,0,259,0,105,0,0,0
"307",1604,26,0,250,0,114,0,0,0
"308",1694,18,0,196,0,86,0,0,0
"310",1758,0,0,137,0,99,0,0,0
"315",1509,0,0,305,0,167,13,0,0
"316",1708,17,0,162,0,107,0,0,0
"351",1434,19,0,358,0,183,0,0,0
"377",1661,21,21,192,0,99,0,0,0
"378",1599,19,0,199,0,177,0,0,0
"380",0,0,0,0,0,0,0,0,1994
"384",1218,18,22,289,26,410,11,0,0
"386",1255,21,0,272,0,438,8,0,0
"389",670,25,0,331,0,410,0,558,0
"394",1462,21,0,225,0,286,0,0,0
"397",1383,20,16,234,93,248,0,0,0
"400",786,19,0,268,0,356,0,447,118
"405",1059,34,44,495,53,309,0,0,0
"408",729,18,0,180,0,560,4,503,0
"409",1254,30,26,376,75,233,0,0,0
"416",1281,16,0,277,41,379,0,0,0
"418",1430,16,14,302,0,216,16,0,0
"421",884,32,0,494,0,283,0,301,0
"425",1164,21,0,312,38,418,7,34,0
"427",1253,28,32,414,86,181,0,0,0
"453",1255,27,0,279,69,352,12,0,0
"455",1350,16,16,250,87,265,10,0,0
"51",1682,9,14,176,0,113,0,0,0
"511",1556,13,24,249,0,140,12,0,0
"516",741,9,0,188,0,462,0,594,0
"517",1311,13,0,231,65,372,0,0,2
"525",569,21,0,339,0,298,11,753,3
"526",859,20,27,281,0,794,13,0,0
"527",409,0,0,122,29,129,0,0,1305
"533",642,13,0,227,0,405,0,554,153
"539",747,9,0,160,45,127,0,0,906
"540",1608,19,0,174,0,151,0,0,42
"545",764,13,0,349,0,488,0,380,0
"55",1586,15,25,283,0,85,0,0,0
"600",1626,16,14,187,0,150,0,0,1
"604",1218,18,0,355,0,281,0,122,0
"607",1577,17,18,189,0,193,0,0,0
"608",1215,20,33,206,0,474,5,41,0
"609",1462,9,15,284,0,224,0,0,0
"612",1529,20,25,242,0,178,0,0,0
"614",1475,10,13,212,0,284,0,0,0
"616",1200,27,24,376,0,356,11,0,0
"617",1498,19,0,227,0,239,11,0,0
"618",1153,21,27,309,0,331,8,145,0
"619",1444,11,0,287,0,252,0,0,0
"62",1642,0,0,233,0,119,0,0,0
"626",1616,14,0,227,0,133,4,0,0
"627",1753,10,0,95,0,136,0,0,0
"63",1637,14,0,229,0,114,0,0,0
"630",1604,16,0,180,0,184,10,0,0
"632",1166,38,27,319,0,433,11,0,0
"633",1575,17,0,275,0,127,0,0,0
"65",1564,20,0,284,0,116,10,0,0
"70",1189,34,25,505,0,226,15,0,0
"73",1504,15,15,272,0,188,0,0,0
"89",1598,24,0,274,0,91,0,0,7
"96",1692,9,0,220,0,73,0,0,0
"97",1712,0,0,182,0,87,13,0,0
"98",1355,18,0,197,0,76,0,0,348
